"country","mean_transport","sd_transport","mean_evwt","sd_evwt","mean_enp","mean_group_entropy"
"Lebanon",0.448822222222223,0.0723763074254493,0.790846495084915,0.295787723268781,4.13545150501672,0.906012316102122
"Bosnia and Herzegovina",0.434829493561857,0.144843076021453,0.667903084701511,0.228298890647223,6.08662934126498,0.826867503715375
"Malaysia",0.363843140278824,0.141211702602749,0.688111374671221,0.280777566112292,4.98465430431684,0.72716551294514
"Peru",0.350510608764624,0.447112184911482,0.541698827200363,0.648135734224742,2.09652235628105,0.719224689479587
"Benin",0.344706316410861,0.181737713061927,0.448044308839465,0.202657848630526,3.05808937755456,0.850922483838031
"Solomon Islands",0.339482813181994,0.01141527365583,0.418916794894746,0.01187636477837,2.5729503807322,0.842931052973771
"Belgium",0.30554628590588,0.277052287144901,0.5952891656656,0.552579584293295,5.07436694424826,0.620000442060265
"India",0.286441109016841,0.120704904379375,0.332563435715842,0.147511939719532,2.88176359026296,0.758863647540724
"Latvia",0.282616084716422,0.00283247040939225,0.805135279123119,0.0686632793412711,4.20149945961207,0.577025035876036
"Mali",0.281799959093398,0.0435598241900759,0.406049019475486,0.0611107417394085,5.39999135498292,0.727926915978114
"Pakistan",0.278837317454252,0.12362658320036,0.554178024506351,0.408411089725126,2.71891236760551,0.786538303552746
"Niger",0.276939164396024,0.0494551873837485,0.443917982482037,0.103794494219009,4.9664132585305,0.686376862930408
"Congo, Democratic Republic of the",0.272619662534435,0.385542424125775,0.566444544710188,NA,5.44297872340425,0.445497938507754
"Haiti",0.25,0.353553390593274,1,NA,1.68076743296648,0.459147917027245
"Netherlands",0.232294362853409,0.3000255226446,0.568556517084524,0.61015322493655,2.24979990188737,0.556081080777612
"Moldova, Republic of",0.231762651326992,0.139862949213024,0.575623671250946,0.159022529670136,3.12330630660284,0.515864813304178
"Mauritius",0.230764991181658,0.0745533108691504,0.359321532385373,0.123884328407986,2.30286077558805,0.715142768067475
"Afghanistan",0.227275335055559,0.0047105858058293,0.346876210772033,0.0343109214856439,1.71109950566844,0.604637224034565
"Congo",0.222222222222222,NA,0.5,NA,1.8,0.91829583405449
"Macedonia",0.190867808285363,0.181942031866351,0.458888174679946,0.456435005219488,2.45203999957995,0.437545835798382
"Bolivia",0.183905325443787,0.0532212914597218,0.385958612560746,0.0668013318869712,1.95239108213742,0.796214622587284
"Myanmar",0.182271328609214,0.0864154718135945,0.655986965766151,0.299634910636233,2.42398325212943,0.382585235887673
"Kenya",0.171783090023516,0.253401966381611,0.287107524175865,0.324880903611674,2.05548112310645,0.84096536839451
"Ethiopia",0.165636477649377,0.199952943126914,0.327532444348469,0.264109007162775,1.6244903244764,0.860332379526881
"Iraq",0.148790049108665,0.256046027490998,0.503533568904594,0.702109560118091,1.27064075537211,0.519692479692817
"Algeria",0.14582460442979,0.0140197967017709,0.341844802859863,0.0979303179094302,4.05564417400754,0.907650825955568
"Namibia",0.145299261944275,0.177932080257101,0.354786793163015,0.331631554613579,2.14838043192557,0.520933325069889
"Israel",0.134139780052693,0.144930799580953,0.357196704102772,0.227966541827347,2.45491894594663,0.421381343830145
"Sierra Leone",0.130895497980927,0.21665855930022,0.249615561611446,0.331398710744908,1.56811954904925,0.83946407257117
"Ukraine",0.130800282396736,0.007703696262837,0.368043161343011,0.186005280445866,4.07469342962056,0.306555883393507
"Zambia",0.127595239150544,0.166549738706394,0.280035632349247,0.282721700040843,1.95867670949373,0.532286568796206
