"country","mean_transport","sd_transport","mean_evwt","sd_evwt","mean_enp","mean_group_entropy"
"Bosnia and Herzegovina",0.556025128088485,0.0390263252690654,0.852959253242104,0.0653145724261796,7.47598605190456,0.82015731226409
"India",0.463320509533756,0.0729650294576274,0.537740402240154,0.072015196060793,4.74768112542927,0.762700707478858
"Congo, Democratic Republic of the",0.435490249433106,NA,0.452128993229877,NA,5.14254529171409,0.890239784488292
"Solomon Islands",0.422900624349636,0.0111731701064704,0.522227081624981,0.00509695127694611,4.29627408391956,0.826752748057219
"Belgium",0.379785801934914,0.0344075897400648,0.738469797026897,0.0765086127367834,6.87849988462334,0.654507087889608
"Benin",0.365450974390368,0.0759752002922272,0.482958477700519,0.0673410027744985,3.61248178727537,0.846427141913454
"Pakistan",0.350801025698758,0.0655343426122253,0.53980491441641,0.132701719661016,4.1877645873822,0.71636257152727
"Burkina Faso",0.301272137658319,0.101763757221623,0.387766451821066,0.146208861463874,4.52919823006872,0.71344835459975
"Ethiopia",0.286163027739674,NA,0.447233872801719,NA,2.57272047741003,0.664440116700842
"Afghanistan",0.271478961955152,NA,0.433168917588272,NA,5.83676470588235,0.594538859832458
"Israel",0.26537372463816,0.000718806922509777,0.45185700144732,0.0120119069923949,5.67199249900555,0.628411667482161
"South Africa",0.242318874789425,0.0152380536139391,0.568180090948655,0.0154039944674621,2.1466187396007,0.574901482665026
"Guyana",0.223372781065089,NA,0.348482170048312,NA,2.80627306273063,0.852681476741563
"Trinidad and Tobago",0.219074394463668,NA,0.335836383993366,NA,2.40083073727934,0.722016567782194
"Indonesia",0.213369733797238,0.00401809136489944,0.23482092993917,0.000301711522365141,5.7387908754088,0.747637175218241
"Ghana",0.212441366407905,0.000659105213426793,0.369558608451844,0.0301977115277695,2.00029302934324,0.660532332187823
"Gambia",0.201605902777778,NA,0.247136706849549,NA,1.99135695764909,0.820180454253292
"Central African Republic",0.195375878853434,NA,0.261468790836753,NA,3.02618657937807,0.788675945494741
"Guinea-Bissau",0.185506454477153,NA,0.225840063252026,NA,1.58400952071838,0.926446352121115
"Bolivia",0.185024938405144,0.035948100287472,0.392226455724836,0.027142644322349,2.85128751552128,0.793259685445361
"Spain",0.177460139388056,0.0275500985827459,0.558607250370025,0.0138590681821592,3.91709881465881,0.445753039901573
"Ecuador",0.175577801136737,0.0486673153991727,0.277071875144579,0.0495934510515152,3.7490354096974,0.751571670313487
"Zambia",0.174585201916913,0.0834176725302146,0.234188977588602,0.0984543934311996,2.21616076723374,0.792780280823265
