"country","mean_transport","sd_transport","mean_evwt","sd_evwt","mean_enp","mean_group_entropy"
"Afghanistan",0.647635524798154,NA,0.862094066752512,NA,9.37297297297297,0.621253998212333
"Bosnia and Herzegovina",0.554469605454433,0.0159443233783246,0.89474958272278,0.0262237720437106,6.71440802348337,0.82015731226409
"Solomon Islands",0.544423440453686,NA,0.717297195558065,NA,4.37190082644628,0.806866174811783
"Lebanon",0.540080738177624,NA,0.786599417094773,NA,8.10280373831776,0.807450307313148
"Malaysia",0.539516432406552,NA,0.777222307403182,NA,5.70778840523131,0.858080855870124
"Sierra Leone",0.403648,NA,0.519266016740411,NA,2.124983000136,0.912859703296382
"Latvia",0.34092601746581,0.0188934644319016,0.761219931110235,0.0172076465001768,3.89305985059455,0.512852431521384
"Indonesia",0.330277423469388,NA,0.380320687745145,NA,6.7152034261242,0.729354246997914
"Moldova, Republic of",0.322161747200993,0.0618521733746167,0.459050712076224,0.0991144277898524,3.64266106624164,0.727426410895058
"Macedonia",0.319822791969083,NA,0.84310580289524,NA,2.92178463233269,0.44198933499448
"Myanmar",0.318008331680222,NA,0.526307530940102,NA,1.75862742635464,0.44330792945465
"Zambia",0.316263542454019,NA,0.45478116631848,NA,2.80693069306931,0.735568693221012
"Congo, Democratic Republic of the",0.294620603062161,0.416656452605049,0.611934667865473,NA,4.97584297936588,0.44594262342446
"Central African Republic",0.252873563218391,NA,0.344274312423977,NA,1.91474829243612,0.784240898561375
"Slovakia",0.246409674981103,NA,0.983870967741935,NA,2.72783505154639,0.328673628402915
"Montenegro",0.236734693877551,NA,0.537122375832053,NA,3.18181818181818,0.538029073404926
"Gambia",0.221274134932301,0.00928424657493356,0.270536687575296,0.0153033601382309,1.55395678415213,0.853419567246064
"Djibouti",0.212121212121212,NA,0.408522727272727,NA,1.82412060301507,0.705956882193194
"Guinea-Bissau",0.194987072680264,NA,0.236374908509162,NA,1.74748995983936,0.928512536569787
"El Salvador",0.191231898432851,NA,0.547727272727273,NA,2.82725743129557,0.796817492324405
"Bolivia",0.183905325443787,0.0532212914597218,0.385958612560746,0.0668013318869712,1.95239108213742,0.796214622587284
"Ecuador",0.169479556528494,NA,0.312450388934438,NA,3.17867564534231,0.633864249459357
"Switzerland",0.163415351436134,NA,0.369700596995229,NA,4.73803994426382,0.577513263691191
"Malawi",0.162756258966172,NA,0.265586939585601,NA,1.67732670961733,0.631464142641319
"Burkina Faso",0.155720164609054,NA,0.183550477673694,NA,1.77856933736703,0.712420614897358
"Paraguay",0.1412048151568,0.0185490690324185,0.291586320656088,0.0467949182494228,3.10072869311188,0.798631920043227
"United States of America",0.133356246777797,NA,0.495353452916879,NA,1.99622641509434,0.417242264640818
"Romania",0.132853656748463,NA,0.848370884778652,NA,3.4630952812738,0.240375382853158
"New Zealand",0.123076378690233,0.0348696693397747,0.38487581910579,0.138008231558337,2.90603972499642,0.494558991390493
"Panama",0.115519407524962,0.0347183569593076,0.277079307690852,0.0321370909137067,2.99664988907092,0.665917002078217
"Gabon",0.10662177328844,NA,0.127529051753366,NA,1.20776340110906,0.784211598576728
"Kosovo",0.106047216260573,NA,1,NA,5.66190135811294,0.28017814662276
"Ukraine",0.100657984361854,0.0456279993848009,0.2770795537405,0.0319077990777852,3.97941684361856,0.282519179915047
"Russian Federation",0.0986732633707752,0.0254255458474283,0.194845877719429,0.0762885879564427,3.41669175378798,0.313857037893427
"Finland",0.0952120756778908,NA,0.54407957288086,NA,5.51450094161959,0.253676627558208
