"Variable","N_Total","N_Missing","N_Available","Pct_Missing","Pct_Available","Category","Variable_Label","Countries_Missing"
"qog_log_pop",242,7,235,2.89,97.11,"Demographic","log(Population)","Kosovo, Palestinian Territory, Occupied, Somaliland, Taiwan"
"qog_urban_pct",242,7,235,2.89,97.11,"Demographic","Percent Urban","Kosovo, Palestinian Territory, Occupied, Somaliland, Taiwan"
"qog_gdppc_ppp_log",242,5,237,2.07,97.93,"Demographic","log(GDP per capita, PPP)","Kosovo, Palestinian Territory, Occupied, Somaliland"
"country",242,0,242,0,100,"Fixed Effect","Country",""
"election_year_approx",242,0,242,0,100,"Fixed Effect","Election Year",""
"FracGroups",242,0,242,0,100,"Fractionalization","Group Fractionalization",""
"FracParties",242,0,242,0,100,"Fractionalization","Party Fractionalization",""
"Inter_PartiesGroupsFrac",242,0,242,0,100,"Fractionalization","Party × Group Frac.",""
"v2x_polyarchy",242,2,240,0.83,99.17,"Institutional","Polyarchy Index (V-Dem)","Palestinian Territory, Occupied"
"v2pepwrsoc",242,2,240,0.83,99.17,"Institutional","Power by Social Group (V-Dem)","Palestinian Territory, Occupied"
"v2peapssoc",242,2,240,0.83,99.17,"Institutional","Public Services by Social Group (V-Dem)","Palestinian Territory, Occupied"
"v2peasjsoc",242,2,240,0.83,99.17,"Institutional","State Jobs by Social Group (V-Dem)","Palestinian Territory, Occupied"
"v2peasbsoc",242,2,240,0.83,99.17,"Institutional","Business Opportunities by Social Group (V-Dem)","Palestinian Territory, Occupied"
"MeasuredSeg_transport",242,0,242,0,100,"Outcome","Segmentation Index",""
